Pairs ( Date & Time        Missing Rate )
2013-09-24 10:10	 0.000 %	2013-09-25 10:10	 0.000 %	2013-09-26 10:10	 0.000 %	
2013-09-24 10:15	10.000 %	2013-09-25 10:15	 0.000 %	2013-09-26 10:15	 0.000 %	
2013-09-24 10:20	 0.000 %	2013-09-25 10:20	 0.000 %	2013-09-26 10:20	 0.000 %	
2013-09-24 10:25	 0.000 %	2013-09-25 10:25	10.000 %	2013-09-26 10:25	 0.000 %	
2013-09-24 10:30	 0.000 %	2013-09-25 10:30	 0.000 %	2013-09-26 10:30	 0.000 %	
2013-09-24 10:35	 0.000 %	2013-09-25 10:35	 0.000 %	2013-09-26 10:35	 0.000 %	
2013-09-24 10:40	 0.000 %	2013-09-25 10:40	 0.000 %	2013-09-26 10:40	10.000 %	
2013-09-24 10:45	 0.000 %	2013-09-25 10:45	 0.000 %	2013-09-26 10:45	 0.000 %	
2013-09-24 10:50	10.000 %	2013-09-25 10:50	 0.000 %	2013-09-26 10:50	 0.000 %	
2013-09-24 10:55	 0.000 %	2013-09-25 10:55	 0.000 %	2013-09-26 10:55	 0.000 %	
2013-09-24 11:00	 0.000 %	2013-09-25 11:00	10.000 %	2013-09-26 11:00	 0.000 %	
2013-09-24 11:05	 0.000 %	2013-09-25 11:05	 0.000 %	2013-09-26 11:05	 0.000 %	
2013-09-24 11:10	 0.000 %	2013-09-25 11:10	 0.000 %	2013-09-26 11:10	 0.000 %	
2013-09-24 11:15	 0.000 %	2013-09-25 11:15	 0.000 %	2013-09-26 11:15	10.000 %	
2013-09-24 11:20	10.000 %	2013-09-25 11:20	 0.000 %	2013-09-26 11:20	 0.000 %	
2013-09-24 11:25	 0.000 %	2013-09-25 11:25	 0.000 %	2013-09-26 11:25	 0.000 %	
2013-09-24 11:30	 0.000 %	2013-09-25 11:30	 0.000 %	2013-09-26 11:30	 0.000 %	
2013-09-24 11:35	 0.000 %	2013-09-25 11:35	10.000 %	2013-09-26 11:35	 0.000 %	
